data_as_on,state,city,company_name,legal_name,cin,company_website,company_status,focus_industry,focus_sector,services_provided
05-08-2026,Gujarat,Gandhinagar,BioPixel Pvt. Ltd.,BioPixel Pvt. Ltd.,U59216GJ2021PTC595142,www.biopixel.org,Active,Retail & Consumer Goods,Mobility Solutions,"SaaS, Platform"
05-08-2026,Gujarat,Ahmedabad,BoltSolutions Private Limited,BoltSolutions Private Limited,U66981GJ2020LLP739357,www.boltsolutions.in,Active,Handicrafts & Art,Smart Checkout,"Web Platform, Platform, On-Demand"
05-08-2026,Gujarat,Surat,ZyphrNetworks Pvt. Ltd.,ZyphrNetworks Pvt. Ltd.,L30970GJ2019PTC434532,,Early Traction,Home Furnishing,ERP Solutions,"AI-Powered, Custom Development, B2C"
05-08-2026,Gujarat,Ahmedabad,PioneerNetworks OPC Pvt. Ltd.,PioneerNetworks OPC Pvt. Ltd.,L61285GJ2020PTC572263,www.pioneernetworks.com,Scaling,Social Impact & NGO,Farm Solutions,"White-Label, Custom Development, Marketplace"
05-08-2026,Gujarat,Bhavnagar,OrbitPixel OPC Private Limited,OrbitPixel OPC Private Limited,L16732GJ2018LLP425944,www.orbitpixel.io,Scaling,Security & Surveillance,Solar Energy,API-First
05-08-2026,Gujarat,Gandhinagar,VibrantPoint LLP,VibrantPoint LLP,U51998GJ2019LLP372399,www.vibrantpoint.tech,Active,Dairy & Livestock,3D Printing,"B2C, White-Label"
05-08-2026,Gujarat,Porbandar,HyperWorks Pvt Ltd,HyperWorks Pvt Ltd,L81694GJ2021LLP477638,www.hyperworks.net,Prototype,Semiconductor & Electronics,B2B Marketplace,"Platform, Mobile App, D2C"
05-08-2026,Gujarat,Ahmedabad,CruxSpace Pvt. Ltd.,CruxSpace Pvt. Ltd.,L90548GJ2019OPC261600,www.cruxspace.tech,Scaling,Semiconductor & Electronics,Food Processing,"Data Analytics, Consulting, API-First, Platform"
05-08-2026,Gujarat,Surat,BrightFlow Private Ltd.,BrightFlow Private Ltd.,L43628GJ2020PTC653356,www.brightflow.tech,Active,Agriculture & Allied Services,Insurance Tech,"Custom Development, Marketplace"
05-08-2026,Gujarat,Ahmedabad,KarmaBase Private Ltd.,KarmaBase Private Ltd.,L55031GJ2022PTC383747,,Active,Logistics & Warehousing,Enterprise IT,"API-First, On-Demand, Blockchain-Based, SaaS"
05-08-2026,Gujarat,Ahmedabad,WaveWorks Private Limited,WaveWorks Private Limited,U78843GJ2019PTC911153,,Validation,Sports & Fitness,ERP Solutions,"Blockchain-Based, Web Platform, White-Label"
05-08-2026,Gujarat,Vadodara,EcoWorks OPC Pvt. Ltd.,EcoWorks OPC Pvt. Ltd.,U95276GJ2021PTC217965,,Active,Human Resources & Staffing,Diagnostics,"Custom Development, B2C, B2B"
05-08-2026,Gujarat,Ahmedabad,UltraDynamics Private Limited,UltraDynamics Private Limited,L84622GJ2020LLP661169,www.ultradynamics.co,Active,Legal & Regulatory Services,Fashion Tech,Data Analytics
05-08-2026,Gujarat,Ahmedabad,GearTech Pvt Ltd,GearTech Pvt Ltd,U53211GJ2020PTC306149,www.geartech.org,Scaling,Industrial Manufacturing,POS Systems,"B2C, AI-Powered, Mobile App, Custom Development"
05-08-2026,Gujarat,Gandhinagar,PixelWorks Private Ltd.,PixelWorks Private Ltd.,U63474GJ2021OPC550618,www.pixelworks.co,Active,Marketing & Advertising,Smart Manufacturing,"API-First, White-Label, On-Demand"
05-08-2026,Gujarat,Vadodara,AgriNexus Private Limited,AgriNexus Private Limited,U61846GJ2017OPC230337,www.agrinexus.io,Scaling,Cement & Building Materials,Retail Analytics,API-First
05-08-2026,Gujarat,Ahmedabad,InfinityMind LLP,InfinityMind LLP,U76495GJ2022LLP359468,,Scaling,AI & Machine Learning,DevOps,"White-Label, D2C"
